Date,All,Bin Fan,Calvin Jia,Andrew Audibert,Yupeng Fu,Haoyuan Li,Jiri Simsa,Gene Pang,Pei Sun,madanadit,cc,Chaomin Yu,haoyuan,Jan Hentschel,Yanqin Jin,Mingfei,David Capwell,bf8086,gjhkael,Henry Saputra,David Zhu,Shaoshan Liu,LuQQiu,Carson Wang,luoli,mbl,RongGu,Manu Goyal
Mon Aug 18 00:00:00 CST 2014,89,0,3,0,0,41,0,0,0,0,0,0,0,0,0,7,26,0,0,4,0,0,0,0,0,0,0,0
Mon Aug 25 00:00:00 CST 2014,69,0,5,0,0,22,0,0,0,0,0,0,0,0,0,13,10,0,0,12,0,0,0,0,0,0,0,0
Mon Sep 01 00:00:00 CST 2014,54,0,6,0,0,16,0,0,0,0,4,0,0,0,0,3,3,0,0,4,1,0,0,0,0,0,0,0
Mon Sep 08 00:00:00 CST 2014,42,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0
Mon Sep 15 00:00:00 CST 2014,43,0,5,0,0,11,0,0,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,0
Mon Sep 22 00:00:00 CST 2014,31,0,1,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
Mon Sep 29 00:00:00 CST 2014,27,0,8,0,0,9,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0
Mon Oct 06 00:00:00 CST 2014,12,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
Mon Oct 13 00:00:00 CST 2014,14,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,4,0,0,4,0,0,0,0,0,0,0,0
Mon Oct 20 00:00:00 CST 2014,27,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,8,0,0,1,0,0,0,0,0,0,0,3
Mon Oct 27 00:00:00 CST 2014,96,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,12,0,0,3,0,0,0,0,0,0,25,0
Mon Nov 03 00:00:00 CST 2014,24,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,3,0,0,1,0,0,0,0,0,0,0,1
Mon Nov 10 00:00:00 CST 2014,32,0,0,0,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0
Mon Nov 17 00:00:00 CST 2014,35,0,0,0,0,18,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0
Mon Nov 24 00:00:00 CST 2014,28,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0
Mon Dec 01 00:00:00 CST 2014,34,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,1,0,0,7,0,0,0,0,0,0,0,3
Mon Dec 08 00:00:00 CST 2014,25,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,5,0,0,4,0,0,0,0,0,0,0,0
Mon Dec 15 00:00:00 CST 2014,30,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,6,0,0,6,0,0,0,0,0,0,0,0
Mon Dec 22 00:00:00 CST 2014,26,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,1
Mon Dec 29 00:00:00 CST 2014,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 05 00:00:00 CST 2015,26,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0
Mon Jan 12 00:00:00 CST 2015,14,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,0,0,0,0,0,0
Mon Jan 19 00:00:00 CST 2015,40,0,1,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,4,0,0,0,0
Mon Jan 26 00:00:00 CST 2015,44,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
